0,SI266220200309225433,0,
1,SI266220200309225433,1,
2,SI266220200309225433,2,
3,SI266220200309225433,3,
4,SI266220200309225433,4,
5,SI266220200309225433,5,
6,SI266220200309225433,6,
7,SI266220200309225433,7,
8,SI266220200309225433,8,
9,SI266220200309225433,9,
10,SI266220200309225433,10,
11,SI266220200309225433,11,
12,SI266220200309225433,12,
13,SI266220200309225433,13,
14,SI266220200309225433,14,
15,SI266220200309225433,15,
16,SI266220200309225433,0,
17,SI266220200309225433,1,
18,SI266220200309225433,2,
19,SI266220200309225433,3,
20,SI266220200309225433,4,
21,SI266220200309225433,5,
22,SI266220200309225433,6,
23,SI266220200309225433,7,
24,SI266220200309225433,8,
25,SI266220200309225433,9,
26,SI266220200309225433,10,
27,SI266220200309225433,11,
28,SI266220200309225433,12,
29,SI266220200309225433,13,
30,SI266220200309225433,14,
31,SI266220200309225433,15,
32,SI266220200309225433,0,
33,SI266220200309225433,1,
34,SI266220200309225433,2,
35,SI266220200309225433,3,287.875000,127.312500,32,315.333333,113.111111,9,336.714286,155.428571,7,363.062500,97.500000,16,383.421053,158.070175,57,446.400000,98.800000,10,446.052632,153.052632,19,456.526316,184.263158,19,498.264368,129.252874,87
36,SI266220200309225433,4,184.000000,331.888889,9,215.727273,351.363636,11,263.000000,348.300654,153,396.380723,346.428916,415
37,SI266220200309225433,5,
38,SI266220200309225433,6,
39,SI266220200309225433,7,5.836364,99.363636,55,0.750000,163.277778,36,40.269231,154.230769,52,183.428571,128.428571,14,207.875000,113.875000,8,231.600000,106.200000,5,255.600000,98.200000,5,439.545455,180.727273,11
40,SI266220200309225433,8,
41,SI266220200309225433,9,75.285714,474.000000,7,163.294118,498.117647,34
42,SI266220200309225433,10,158.318750,9.743750,160
43,SI266220200309225433,11,
44,SI266220200309225433,12,
45,SI266220200309225433,13,
46,SI266220200309225433,14,
47,SI266220200309225433,15,
48,SI266220200309225433,0,
49,SI266220200309225433,1,
50,SI266220200309225433,2,320.714286,178.000000,7,377.200000,198.500000,10,477.481605,173.799331,299
51,SI266220200309225433,3,345.581994,149.620579,311,343.500000,101.250000,12,450.432432,105.702703,37,453.923077,179.307692,13,497.553846,173.046154,65,498.285714,96.380952,21
52,SI266220200309225433,4,
53,SI266220200309225433,5,402.463072,462.194607,853,350.000000,286.285714,7,350.000000,234.000000,7,419.884462,283.334661,251,406.565217,239.478261,23,432.000000,498.000000,19,433.195122,242.512195,41
54,SI266220200309225433,6,21.162069,173.262069,290,428.045455,1.000000,22
55,SI266220200309225433,7,0.727273,96.363636,22,25.376812,164.884058,138,396.290735,117.805112,313
56,SI266220200309225433,8,
57,SI266220200309225433,9,54.705882,485.647059,17,128.246479,493.023474,426,152.363636,445.909091,11,296.819767,498.343023,172
58,SI266220200309225433,10,138.336391,4.198777,327,294.661017,0.627119,177,497.000000,0.857143,7
59,SI266220200309225433,11,
60,SI266220200309225433,12,
61,SI266220200309225433,13,40.500000,455.312500,16
62,SI266220200309225433,14,
63,SI266220200309225433,15,
64,SI266220200309225433,0,
65,SI266220200309225433,1,
66,SI266220200309225433,2,
67,SI266220200309225433,3,302.235294,142.254902,51,315.500000,113.000000,6,339.100000,156.100000,10,350.705882,101.117647,17,385.500000,93.800000,10,447.860465,120.348837,43,451.857143,184.571429,7,475.698113,141.754717,53,498.406250,98.656250,32
68,SI266220200309225433,4,
69,SI266220200309225433,5,
70,SI266220200309225433,6,0.750000,164.500000,8,350.500000,465.000000,10
71,SI266220200309225433,7,0.666667,100.692308,39,35.061224,95.183673,49,350.583333,181.000000,12,438.185185,93.851852,27
72,SI266220200309225433,8,
73,SI266220200309225433,9,79.142857,470.571429,7,106.000000,498.222222,9,132.600000,498.200000,5,252.266667,498.133333,15
74,SI266220200309225433,10,123.222222,1.111111,18,251.127660,20.106383,47,497.000000,1.000000,8
75,SI266220200309225433,11,
76,SI266220200309225433,12,
77,SI266220200309225433,13,1.000000,498.000000,5
78,SI266220200309225433,14,
79,SI266220200309225433,15,
80,SI266220200309225433,0,
81,SI266220200309225433,1,
